127.0.0.1, 2018-04-06 17:39:07, GET, /start/default/index, HTTP/1.1, 200, 1.527000
127.0.0.1, 2018-04-06 17:39:07, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.010000
127.0.0.1, 2018-04-06 17:39:07, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.012000
127.0.0.1, 2018-04-06 17:39:07, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.012000
127.0.0.1, 2018-04-06 17:39:07, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.028000
127.0.0.1, 2018-04-06 17:39:07, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.032000
127.0.0.1, 2018-04-06 17:39:07, GET, /start/static/js/default_index.js, HTTP/1.1, 200, 0.014000
127.0.0.1, 2018-04-06 17:39:07, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.036000
127.0.0.1, 2018-04-06 17:39:07, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.049000
127.0.0.1, 2018-04-06 17:39:07, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.062000
127.0.0.1, 2018-04-06 17:39:07, GET, /start/static/js/vue.js, HTTP/1.1, 200, 0.090000
127.0.0.1, 2018-04-06 17:39:07, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.094000
127.0.0.1, 2018-04-06 17:39:07, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.075000
127.0.0.1, 2018-04-06 17:39:07, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.041000
127.0.0.1, 2018-04-06 17:39:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-06 17:39:13, GET, /start/default/index, HTTP/1.1, 200, 0.020000
127.0.0.1, 2018-04-06 17:39:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-06 17:39:23, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-04-06 17:39:25, GET, /start/default/user/register, HTTP/1.1, 200, 0.168000
127.0.0.1, 2018-04-06 17:39:25, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-04-10 02:58:46, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2018-04-10 02:58:47, GET, /welcome/default/index, HTTP/1.1, 200, 1.706000
127.0.0.1, 2018-04-10 02:58:47, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.017000
127.0.0.1, 2018-04-10 02:58:47, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.023000
127.0.0.1, 2018-04-10 02:58:47, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.029000
127.0.0.1, 2018-04-10 02:58:47, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.038000
 0.040000
127.0.0.1, 2018-04-10 02:58:47, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.057000
127.0.0.1, 2018-04-10 02:58:47, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.046000
127.0.0.1, 2018-04-10 02:58:47, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.089000
